
n ; porownania(c); przestawienia(s); c/n; s/n;
3100;5105.14;5302.45;1.6468193548387098;1.710467741935484;
3200;5395.54;5623.88;1.68610625;1.7574625;
3300;5599.41;5810.75;1.696790909090909;1.7608333333333333;
3400;5774.18;6005.69;1.6982882352941178;1.7663794117647058;
3500;5840.44;6059.54;1.6686971428571427;1.7312971428571429;
3600;5937.68;6146.97;1.6493555555555557;1.7074916666666666;
3700;6039.34;6231.31;1.632254054054054;1.684137837837838;
3800;6388.53;6617.83;1.6811921052631578;1.7415342105263159;
3900;6662.47;6908.9;1.708325641025641;1.7715128205128203;
4000;6627.9;6845.62;1.6569749999999999;1.711405;
4100;6662.81;6875.19;1.6250756097560977;1.6768756097560975;
4200;6947.36;7178.36;1.6541333333333332;1.7091333333333332;
4300;7194.67;7436.72;1.6731790697674418;1.7294697674418604;
4400;7296.79;7535.03;1.6583613636363637;1.7125068181818182;
4500;7532.47;7789.59;1.6738822222222223;1.73102;
4600;7589.39;7842.03;1.649867391304348;1.7047891304347826;
4700;7736.99;7975.81;1.646168085106383;1.6969808510638298;
4800;7994.04;8255.77;1.665425;1.7199520833333335;
4900;8079.87;8329.38;1.6489530612244898;1.6998734693877549;
5000;8326.74;8593.46;1.665348;1.7186919999999999;
5100;8198.9;8428.85;1.607627450980392;1.6527156862745098;
5200;8594.26;8874.62;1.6527423076923078;1.7066576923076924;
5300;8654.99;8902.78;1.6330169811320754;1.6797698113207549;
5400;8886.97;9147.77;1.6457351851851851;1.6940314814814816;
5500;9245.89;9550.46;1.681070909090909;1.7364472727272726;
5600;9160.51;9446.81;1.6358053571428572;1.686930357142857;
5700;9300.28;9573.86;1.6316280701754386;1.6796245614035088;
5800;9632.2;9928.21;1.6607241379310347;1.711760344827586;
5900;9805.43;10113.58;1.6619372881355932;1.7141661016949152;
6000;10229.06;10559.99;1.7048433333333333;1.7599983333333333;
6100;9923.76;10211.9;1.6268459016393444;1.6740819672131146;
6200;10110.16;10391.24;1.6306709677419355;1.6760064516129032;
6300;10465.15;10788.6;1.6611349206349206;1.7124761904761905;
6400;10502.1;10795.32;1.640953125;1.68676875;
6500;10789.5;11127.77;1.6599230769230768;1.7119646153846155;
6600;10721.39;11017.16;1.6244530303030302;1.6692666666666667;
6700;10915.46;11215.15;1.629173134328358;1.6739029850746268;
6800;11366.74;11717.66;1.6715794117647058;1.723185294117647;
6900;11439.23;11774.96;1.6578594202898551;1.7065159420289855;
7000;11690.75;12028.52;1.6701071428571428;1.71836;
7100;12192.49;12569.42;1.7172521126760563;1.7703408450704226;
7200;11871.92;12203.67;1.6488777777777779;1.6949541666666668;
7300;12010.3;12332.01;1.6452465753424657;1.6893164383561645;
7400;12211.27;12537.87;1.6501716216216218;1.694306756756757;
7500;12892.13;13268.95;1.7189506666666665;1.7691933333333334;
7600;12517.44;12861.67;1.6470315789473684;1.692325;
7700;12764.53;13124.74;1.6577311688311689;1.7045116883116882;
7800;13272.68;13670.96;1.701625641025641;1.7526871794871794;
7900;13186.36;13548.48;1.6691594936708862;1.7149974683544302;
8000;13232.11;13590.26;1.65401375;1.6987825;
8100;13056.26;13374.79;1.611883950617284;1.6512086419753087;
8200;13233.87;13539.01;1.6138865853658537;1.651098780487805;
8300;14009.34;14386.14;1.6878722891566265;1.7332698795180723;
8400;13825.29;14161.65;1.6458678571428573;1.6859107142857142;
8500;14281.38;14668.15;1.6801623529411764;1.7256647058823529;
8600;13915.36;14224.04;1.6180651162790698;1.653958139534884;
8700;14130.38;14445.62;1.6241816091954022;1.6604160919540232;
8800;14697.63;15089.22;1.6701852272727271;1.7146840909090908;
8900;14579.39;14919.0;1.6381337078651685;1.6762921348314608;
9000;15027.96;15438.19;1.6697733333333333;1.7153544444444444;
9100;14916.75;15282.41;1.6392032967032968;1.6793857142857143;
9200;15853.04;16287.6;1.7231565217391305;1.770391304347826;
9300;15211.27;15566.81;1.635620430107527;1.6738505376344086;
9400;15697.76;16097.62;1.6699744680851063;1.7125127659574468;
9500;15791.65;16197.48;1.662278947368421;1.704997894736842;
9600;15756.6;16160.85;1.6413125;1.683421875;
9700;15814.6;16205.14;1.6303711340206186;1.6706329896907215;
9800;16688.03;17146.35;1.7028602040816325;1.749627551020408;
9900;16529.51;16942.67;1.6696474747474745;1.711380808080808;
10000;16599.71;17003.34;1.6599709999999999;1.700334;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;153.95;172.98;1.5394999999999999;1.7298;
200;337.91;372.92;1.68955;1.8646;
300;523.17;575.24;1.7438999999999998;1.9174666666666667;
400;713.17;775.75;1.7829249999999999;1.939375;
500;882.17;953.08;1.76434;1.90616;
