
n ; porownania(c); przestawienia(s); c/n; s/n;
6500;6637.94;6657.64;1.0212215384615384;1.0242523076923078;
6600;6261.65;6286.33;0.9487348484848485;0.9524742424242424;
6700;6856.31;6880.15;1.0233298507462687;1.0268880597014924;
6800;7100.49;7121.37;1.0441897058823528;1.047260294117647;
6900;6106.29;6129.31;0.8849695652173913;0.8883057971014493;
7000;7215.61;7237.17;1.0308014285714284;1.0338814285714286;
7100;7806.09;7828.69;1.099449295774648;1.102632394366197;
7200;6605.72;6628.12;0.9174611111111112;0.9205722222222222;
7300;7017.48;7039.7;0.9612986301369862;0.9643424657534246;
7400;6842.54;6865.48;0.9246675675675675;0.9277675675675675;
7500;7023.46;7046.14;0.9364613333333334;0.9394853333333334;
7600;7880.05;7905.13;1.0368486842105265;1.0401486842105263;
7700;7733.47;7756.97;1.0043467532467534;1.0073987012987013;
7800;8402.34;8425.96;1.0772230769230768;1.080251282051282;
7900;7392.07;7414.39;0.9357050632911392;0.9385303797468355;
8000;8475.5;8499.02;1.0594375;1.0623775;
8100;7836.04;7859.3;0.9674123456790124;0.970283950617284;
8200;8173.52;8197.34;0.9967707317073171;0.9996756097560976;
8300;7292.87;7314.53;0.8786590361445783;0.8812686746987951;
8400;9379.15;9402.71;1.1165654761904762;1.119370238095238;
8500;8929.21;8952.03;1.0504952941176469;1.05318;
8600;8470.21;8493.69;0.9849081395348837;0.9876383720930233;
8700;7684.26;7707.12;0.883248275862069;0.8858758620689655;
8800;7687.9;7708.5;0.873625;0.8759659090909091;
8900;9414.56;9437.3;1.0578157303370785;1.060370786516854;
9000;7965.88;7986.94;0.8850977777777778;0.8874377777777778;
9100;9341.85;9364.27;1.026576923076923;1.0290406593406594;
9200;9799.15;9821.93;1.0651249999999999;1.0676010869565218;
9300;9459.73;9481.15;1.0171752688172042;1.019478494623656;
9400;9861.46;9882.08;1.049091489361702;1.0512851063829787;
9500;9678.58;9704.28;1.0187978947368421;1.021503157894737;
9600;9780.19;9803.53;1.0187697916666667;1.0212010416666668;
9700;9545.58;9570.16;0.984080412371134;0.9866144329896908;
9800;10704.21;10727.63;1.092266326530612;1.0946561224489795;
9900;11129.73;11152.39;1.1242151515151515;1.1265040404040403;
10000;9576.91;9598.37;0.957691;0.959837;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;94.62;104.4;0.9462;1.044;
200;320.29;338.75;1.60145;1.69375;
300;469.89;489.25;1.5663;1.6308333333333334;
400;581.1;600.46;1.45275;1.50115;
500;701.96;723.24;1.40392;1.44648;
600;847.05;869.23;1.4117499999999998;1.4487166666666667;
700;898.29;919.43;1.2832714285714286;1.3134714285714284;
800;1065.02;1087.58;1.331275;1.359475;
900;1145.87;1164.25;1.2731888888888887;1.293611111111111;
1000;1353.88;1376.26;1.3538800000000002;1.37626;
1100;1335.75;1357.07;1.2143181818181819;1.2337;
1200;1760.79;1783.07;1.467325;1.4858916666666666;
1300;1510.42;1534.2;1.1618615384615385;1.180153846153846;
1400;1729.67;1752.15;1.2354785714285714;1.2515357142857144;
1500;1915.17;1939.97;1.27678;1.2933133333333333;
1600;1907.58;1930.28;1.1922375;1.206425;
1700;1978.46;2001.6;1.1638;1.1774117647058824;
1800;2309.22;2333.18;1.2829;1.296211111111111;
1900;2244.33;2268.21;1.1812263157894736;1.1937947368421054;
2000;2336.52;2359.66;1.16826;1.17983;
2100;2428.96;2454.08;1.1566476190476191;1.1686095238095238;
2200;2517.54;2540.38;1.1443363636363637;1.154718181818182;
2300;2584.51;2608.13;1.1237000000000001;1.1339695652173913;
2400;3003.72;3028.38;1.25155;1.261825;
2500;3004.69;3031.57;1.201876;1.212628;
2600;3098.27;3121.59;1.1916423076923077;1.2006115384615386;
2700;2919.85;2946.15;1.0814259259259258;1.0911666666666666;
2800;3274.58;3300.56;1.1694928571428571;1.1787714285714286;
2900;3449.13;3471.43;1.1893551724137932;1.197044827586207;
3000;3315.67;3338.97;1.1052233333333334;1.11299;
3100;3461.31;3486.85;1.1165516129032258;1.124790322580645;
3200;3972.5;3995.84;1.24140625;1.2487000000000001;
3300;3373.3;3398.92;1.0222121212121213;1.0299757575757575;
3400;4108.41;4134.19;1.2083558823529412;1.2159382352941175;
3500;3500.19;3523.63;1.0000542857142858;1.0067514285714285;
3600;4264.35;4288.25;1.1845416666666668;1.1911805555555555;
3700;4280.15;4306.27;1.1567972972972973;1.1638567567567568;
3800;4295.62;4320.02;1.1304263157894736;1.1368473684210527;
3900;3939.94;3964.02;1.0102410256410257;1.0164153846153847;
4000;4414.07;4438.65;1.1035175;1.1096625;
4100;4725.42;4750.6;1.1525414634146343;1.1586829268292684;
4200;4570.94;4593.82;1.0883190476190476;1.0937666666666666;
4300;4372.62;4397.22;1.0168883720930233;1.0226093023255816;
4400;5236.16;5260.42;1.1900363636363636;1.1955500000000001;
4500;5248.57;5274.89;1.1663488888888889;1.172197777777778;
4600;5164.61;5188.73;1.122741304347826;1.1279847826086955;
4700;4821.66;4848.34;1.0258851063829786;1.0315617021276595;
